value,region,sub_region,asset_id
Master Control Zone,Master Control Zone,Herta Space Station,loc_herta_space_station
Master Control Zone,Master Control Zone,Herta Space Station,loc_herta_space_station
Central Passage,Master Control Zone,Herta Space Station,loc_herta_space_station
Herta's Office,Master Control Zone,Herta Space Station,loc_herta_space_station
Watcher Zone,Master Control Zone,Herta Space Station,loc_herta_space_station
Base Zone,Base Zone,Herta Space Station,loc_herta_space_station
Base Zone,Base Zone,Herta Space Station,loc_herta_space_station
Monitoring Room,Base Zone,Herta Space Station,loc_herta_space_station
Reception Center,Base Zone,Herta Space Station,loc_herta_space_station
Storage Zone,Storage Zone,Herta Space Station,loc_herta_space_station
Storage Zone,Storage Zone,Herta Space Station,loc_herta_space_station
Courtyard (First Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Gallery of Shadow (First Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Outside the Control Center (First Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Special Purpose Lab (Second Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Supply Zone,Supply Zone,Herta Space Station,loc_herta_space_station
Supply Zone,Supply Zone,Herta Space Station,loc_herta_space_station
Electrical Room,Supply Zone,Herta Space Station,loc_herta_space_station
Railway Platform,Supply Zone,Herta Space Station,loc_herta_space_station
Spare Parts Warehouse,Supply Zone,Herta Space Station,loc_herta_space_station
Seclusion Zone,Seclusion Zone,Herta Space Station,loc_herta_space_station
Seclusion Zone,Seclusion Zone,Herta Space Station,loc_herta_space_station
Breeding Ground,Seclusion Zone,Herta Space Station,loc_herta_space_station
Distribution Center,Seclusion Zone,Herta Space Station,loc_herta_space_station
Incubator,Seclusion Zone,Herta Space Station,loc_herta_space_station
Lifeform Oven,Seclusion Zone,Herta Space Station,loc_herta_space_station
Pharmaceutical Room,Seclusion Zone,Herta Space Station,loc_herta_space_station
Overworld,Overworld,Jarilo-VI,loc_jarilovi
Overworld,Overworld,Jarilo-VI,loc_jarilovi
Administrative District,Overworld,Jarilo-VI,loc_jarilovi
Central Plaza,Overworld,Jarilo-VI,loc_jarilovi
Eversummer Florist,Overworld,Jarilo-VI,loc_jarilovi
History and Culture Museum,Overworld,Jarilo-VI,loc_jarilovi
Neverwinter Workshop,Overworld,Jarilo-VI,loc_jarilovi
Qlipoth Fort,Overworld,Jarilo-VI,loc_jarilovi
Goethe Hotel,Overworld,Jarilo-VI,loc_jarilovi
Hotel Lobby,Overworld,Jarilo-VI,loc_jarilovi
Hotel Corridor,Overworld,Jarilo-VI,loc_jarilovi
Hotel Room,Overworld,Jarilo-VI,loc_jarilovi
Golden Theater,Overworld,Jarilo-VI,loc_jarilovi
Outlying Snow Plains,Overworld,Jarilo-VI,loc_jarilovi
Landing Point,Overworld,Jarilo-VI,loc_jarilovi
Long Slope,Overworld,Jarilo-VI,loc_jarilovi
Backwater Pass,Overworld,Jarilo-VI,loc_jarilovi
Goethe Mansion,Overworld,Jarilo-VI,loc_jarilovi
Leisure Plaza,Overworld,Jarilo-VI,loc_jarilovi
Transport Hub,Overworld,Jarilo-VI,loc_jarilovi
Silvermane Guard Restricted Zone,Overworld,Jarilo-VI,loc_jarilovi
